timestamp,power_kw,hour,day_of_week,month
2024-01-01 00:00:00,34.66459904265586,0,0,1
2024-01-01 00:15:00,38.22492207852184,0,0,1
2024-01-01 00:30:00,38.1634524364709,0,0,1
2024-01-01 00:45:00,36.20986873716773,0,0,1
2024-01-01 01:00:00,38.13430841521918,1,0,1
2024-01-01 01:15:00,33.829874041862766,1,0,1
2024-01-01 01:30:00,37.55373889270014,1,0,1
2024-01-01 01:45:00,37.93061032861911,1,0,1
2024-01-01 02:00:00,36.074962357954696,2,0,1
2024-01-01 02:15:00,39.05378963376903,2,0,1
2024-01-01 02:30:00,37.60718808336903,2,0,1
2024-01-01 02:45:00,37.448047164470886,2,0,1
2024-01-01 03:00:00,37.413340530116514,3,0,1
2024-01-01 03:15:00,38.416800305376746,3,0,1
2024-01-01 03:30:00,40.69313327202678,3,0,1
2024-01-01 03:45:00,39.48588111181123,3,0,1
2024-01-01 04:00:00,38.50223303962539,4,0,1
2024-01-01 04:15:00,37.333636590573114,4,0,1
2024-01-01 04:30:00,34.971648814003025,4,0,1
2024-01-01 04:45:00,36.249124884828106,4,0,1
2024-01-01 05:00:00,35.82704621529287,5,0,1
2024-01-01 05:15:00,36.471314431329716,5,0,1
2024-01-01 05:30:00,39.926224480800435,5,0,1
2024-01-01 05:45:00,37.33972031145813,5,0,1
2024-01-01 06:00:00,35.02878122872456,6,0,1
2024-01-01 06:15:00,39.59699607149104,6,0,1
2024-01-01 06:30:00,35.73947196126911,6,0,1
2024-01-01 06:45:00,38.52165708429778,6,0,1
2024-01-01 07:00:00,93.31262986191152,7,0,1
2024-01-01 07:15:00,97.38702940588024,7,0,1
2024-01-01 07:30:00,106.80973791526948,7,0,1
2024-01-01 07:45:00,94.1080039369305,7,0,1
2024-01-01 08:00:00,124.8691187140947,8,0,1
2024-01-01 08:15:00,132.16219502502662,8,0,1
2024-01-01 08:30:00,123.89437637130752,8,0,1
2024-01-01 08:45:00,127.09840046365977,8,0,1
2024-01-01 09:00:00,138.2685000874397,9,0,1
2024-01-01 09:15:00,152.6248292797601,9,0,1
2024-01-01 09:30:00,151.57033163864926,9,0,1
2024-01-01 09:45:00,150.54407272045066,9,0,1
2024-01-01 10:00:00,150.7483321522661,10,0,1
2024-01-01 10:15:00,140.33062289241914,10,0,1
2024-01-01 10:30:00,132.6583663950813,10,0,1
2024-01-01 10:45:00,141.627871525642,10,0,1
2024-01-01 11:00:00,146.49661078029922,11,0,1
2024-01-01 11:15:00,136.5447703865737,11,0,1
2024-01-01 11:30:00,138.47652580103133,11,0,1
2024-01-01 11:45:00,135.0129077848206,11,0,1
2024-01-01 12:00:00,136.93111483827843,12,0,1
2024-01-01 12:15:00,149.59490450020147,12,0,1
2024-01-01 12:30:00,136.00951817066064,12,0,1
2024-01-01 12:45:00,138.29215456478224,12,0,1
2024-01-01 13:00:00,146.4379573982966,13,0,1
2024-01-01 13:15:00,139.23162480994085,13,0,1
2024-01-01 13:30:00,145.75417178989628,13,0,1
2024-01-01 13:45:00,138.6607612375596,13,0,1
2024-01-01 14:00:00,137.26177746345036,14,0,1
2024-01-01 14:15:00,131.32779361692877,14,0,1
2024-01-01 14:30:00,137.92538881772867,14,0,1
2024-01-01 14:45:00,150.5016093313009,14,0,1
2024-01-01 15:00:00,126.52824489525665,15,0,1
2024-01-01 15:15:00,146.4139172896654,15,0,1
2024-01-01 15:30:00,138.9829349350585,15,0,1
2024-01-01 15:45:00,137.55967995916646,15,0,1
2024-01-01 16:00:00,139.35317743585267,16,0,1
2024-01-01 16:15:00,138.80821054550736,16,0,1
2024-01-01 16:30:00,138.63126210958833,16,0,1
2024-01-01 16:45:00,154.64563264975814,16,0,1
