timestamp,power_kw,hour,day_of_week,month
2024-01-01 00:00:00,32.25342236603406,0,0,1
2024-01-01 00:15:00,28.922556388278558,0,0,1
2024-01-01 00:30:00,27.95116724451892,0,0,1
2024-01-01 00:45:00,30.64286824041896,0,0,1
2024-01-01 01:00:00,31.05879396468087,1,0,1
2024-01-01 01:15:00,29.676789556770316,1,0,1
2024-01-01 01:30:00,30.015700749209486,1,0,1
2024-01-01 01:45:00,29.811654378975113,1,0,1
2024-01-01 02:00:00,30.221583484591147,2,0,1
2024-01-01 02:15:00,32.62527062147657,2,0,1
2024-01-01 02:30:00,29.669894015455775,2,0,1
2024-01-01 02:45:00,29.568182498752922,2,0,1
2024-01-01 03:00:00,31.18128886130602,3,0,1
2024-01-01 03:15:00,28.983972544965727,3,0,1
2024-01-01 03:30:00,30.284943551549436,3,0,1
2024-01-01 03:45:00,28.60683841151552,3,0,1
2024-01-01 04:00:00,27.660349953118793,4,0,1
2024-01-01 04:15:00,28.460414092488875,4,0,1
2024-01-01 04:30:00,31.527728736926942,4,0,1
2024-01-01 04:45:00,29.792880359248496,4,0,1
2024-01-01 05:00:00,31.434305105272358,5,0,1
2024-01-01 05:15:00,32.6786147047162,5,0,1
2024-01-01 05:30:00,27.733204151884625,5,0,1
2024-01-01 05:45:00,30.819146794900803,5,0,1
2024-01-01 06:00:00,32.424684036956876,6,0,1
2024-01-01 06:15:00,30.039353545459036,6,0,1
2024-01-01 06:30:00,30.115514663812863,6,0,1
2024-01-01 06:45:00,27.792385242002474,6,0,1
2024-01-01 07:00:00,97.25524275328542,7,0,1
2024-01-01 07:15:00,106.35020442740236,7,0,1
2024-01-01 07:30:00,96.16489685032177,7,0,1
2024-01-01 07:45:00,96.98435219335126,7,0,1
2024-01-01 08:00:00,149.12972753315373,8,0,1
2024-01-01 08:15:00,159.6925520672717,8,0,1
2024-01-01 08:30:00,136.2285272445609,8,0,1
2024-01-01 08:45:00,159.4991844061494,8,0,1
2024-01-01 09:00:00,187.9009256140743,9,0,1
2024-01-01 09:15:00,172.1179175121598,9,0,1
2024-01-01 09:30:00,168.20798236426373,9,0,1
2024-01-01 09:45:00,173.27854867508069,9,0,1
2024-01-01 10:00:00,162.83613321063498,10,0,1
2024-01-01 10:15:00,177.98004935345028,10,0,1
2024-01-01 10:30:00,178.32178604823224,10,0,1
2024-01-01 10:45:00,170.41864662269276,10,0,1
2024-01-01 11:00:00,166.03173713874241,11,0,1
2024-01-01 11:15:00,169.98715832922554,11,0,1
2024-01-01 11:30:00,168.13166156768696,11,0,1
2024-01-01 11:45:00,175.82918808930114,11,0,1
2024-01-01 12:00:00,172.43381907457925,12,0,1
2024-01-01 12:15:00,153.7371209569699,12,0,1
